maiorAtraso,margemBrutaAcumulada,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,percentualRisco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,custos,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito
2,0.0,0,0.0,20000.0,0.2830188679245283,437853.0,272388.0,450614.0,178225.0,0.0,0.0,201085.0,624350.0,-3319.0,-431401.0,40000.0,False,True,0.0,10800.0
7,0.3877332673,63,10368.0,20000.0,0.2830188679245283,382348.0,890140.0,627034.0,460656.0,0.0,128803.0,212674.0,1177807.0,0.0,0.0,50000.0,False,True,1.0,44000.0
19,0.0,0,0.0,50000.0,0.320754716981132,714851.0,188269.0,728846.0,1402031.0,0.0,652153.0,0.0,1249651.0,302367.0,2183996.0,100000.0,False,True,0.0,165850.0
28,0.0,0,0.0,60000.0,0.3584905660377358,95762.0,293393.0,4786692.0,4493298.0,0.0,3212721.0,1195553.0,5368371.0,1346068.0,2072196.0,500000.0,False,True,0.0,194114.0
0,0.3859177578,0,0.0,50000.0,0.2830188679245283,911113.0,509051.0,926368.0,451271.0,0.0,0.0,619908.0,572776.0,0.0,0.0,80000.0,False,True,1.0,63000.0
4,0.5173010369,0,12825.0,25000.0,0.1698113207547169,188406780.0,23135956.0,23135956.0,18065030.0,0.0,8069962.0,4359398.0,0.0,0.0,0.0,5993340.0,False,False,1.0,2700000.0
18,0.0,0,0.0,100000.0,0.320754716981132,2451304.0,1077694.0,2451304.0,4057991.0,0.0,0.0,96380.0,13144861.0,71893260.0,5955535.0,100000.0,False,True,0.0,111772.0
0,0.0,0,0.0,30000.0,0.1698113207547169,1039010.0,158609.0,1271122.0,1271122.0,0.0,218320.0,606940.0,3874929.0,1509631.0,2365298.0,93700.0,False,True,0.0,3520.0
4,0.5687188261,2,1111.14,45000.0,0.1320754716981132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28007030.0,0.0,0.0,7500000.0,False,False,1.0,242500.0
5,0.5200913988,0,0.0,10000.0,0.2641509433962264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1184445.0,0.0,0.0,10000.0,False,False,1.0,66000.0
30,0.0,0,0.0,35000.0,0.5094339622641509,427357.0,334973.0,464583.0,129609.0,27955.0,183549.0,146651.0,1758366.0,539169.0,1219197.0,60000.0,False,True,0.0,11608.0
17,0.0,0,0.0,40000.0,0.2830188679245283,29384648.0,18810159.0,33247327.0,14341335.0,50000.0,12515839.0,13361956.0,75664716.0,12530408.0,63134308.0,11615000.0,False,False,0.0,3592231.0
3,0.0,0,0.0,17000.0,0.490566037735849,191251.0,4306.0,191251.0,150000.0,0.0,0.0,9887.0,68529.0,43547.0,24983.0,150000.0,True,True,0.0,1720.0
7,0.0,0,0.0,30000.0,0.320754716981132,2337149.0,2345646.0,2345646.0,1029696.0,113052.0,675431.0,36418.0,3160445.0,1402051.0,1758394.0,300000.0,False,True,0.0,26400.0
3,0.0,0,0.0,30000.0,0.2452830188679245,800360.0,92837.0,800360.0,893197.0,0.0,0.0,2218661.0,162322.0,0.0,0.0,60000.0,False,True,0.0,3520.0
0,0.0,0,0.0,20000.0,0.2641509433962264,8320950.0,4807039.0,11244780.0,6437741.0,0.0,7308360.0,846974.0,24039928.0,13670784.0,10369144.0,1000000.0,True,True,0.0,550763.0
14,0.523043632,0,0.0,30000.0,0.4339622641509433,423544.0,133500.0,423544.0,290043.0,0.0,39107.0,220837.0,300490.0,89373.0,211117.0,50000.0,False,True,0.9181579885,33000.0
0,0.0,0,0.0,15000.0,0.2264150943396226,22439984.0,18426979.0,24595889.0,2904424.0,10636933.0,9741841.0,8716419.0,0.0,0.0,0.0,380000.0,False,False,0.0,3497472.0
3,0.0,0,0.0,1000000.0,0.2830188679245283,4788225.0,4783150.0,5195827.0,200519.0,212157.0,2971408.0,701409.0,7186820.0,3792667.0,3394153.0,500000.0,False,False,0.0,54400.0
3,0.0,0,0.0,110000.0,0.1132075471698113,1873096.0,560557.0,6970026.0,6170773.0,238695.0,544180.0,532287.0,4757529.0,1026916.0,3730613.0,200000.0,False,False,0.0,125000.0
15,0.3196524397,12,1428.0,16000.0,0.2641509433962264,70088.0,41968.0,74551.0,74551.0,11867.0,26295.0,30368.0,185078.0,41213.0,143865.0,2551000.0,False,False,1.0,5595680.0
3,0.0,0,0.0,50000.0,0.2264150943396226,7350372.0,3357234.0,7579665.0,4222431.0,95666.0,4196919.0,3173220.0,19428398.0,5566236.0,13862162.0,100000.0,False,True,0.0,26400.0
2,0.0,0,0.0,600000.0,0.1886792452830188,5518934.0,3941458.0,12075866.0,4025013.0,897815.0,1291174.0,3771335.0,17496592.0,5910310.0,11586282.0,2500000000.0,True,False,0.0,1974261312.0
0,0.0,0,0.0,99999.0,0.3018867924528301,3488992.0,4915898.0,3592780.0,472217.0,3658024.0,824895.0,1063783.0,4404736.0,0.0,0.0,200000.0,False,True,0.0,5400.0
4,0.0,0,0.0,30000.0,0.320754716981132,182926.0,265311.0,307121.0,41810.0,0.0,0.0,181329.0,458448.0,0.0,0.0,40000.0,False,True,0.0,77000.0
12,0.0,0,0.0,80000.0,0.150943396226415,3725977.0,1223027.0,3766410.0,1273875.0,654996.0,611195.0,975936.0,7661997.0,3647182.0,4014815.0,150000.0,False,False,0.0,115500.0
4,0.4468061529,32,4130.81,15000.0,0.1320754716981132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62186614.0,20104951.0,42081663.0,420000.0,False,False,1.0,5819033.0
18,0.0,0,0.0,50000.0,0.0943396226415094,4308720.0,1871194.0,4458018.0,2586824.0,0.0,2163317.0,1778916.0,4472773.0,1425072.0,3047701.0,500000.0,False,False,0.0,2047123.0
2,0.0,0,0.0,30000.0,0.5094339622641509,53465.0,54808.0,141453.0,66986.0,53127.0,0.0,19369.0,125572.0,63888.0,61684.0,10000.0,False,True,0.0,9240.0
43,0.4311787041,0,0.0,25000.0,0.2641509433962264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5446567.0,3033355.0,2413212.0,300000.0,False,True,1.0,271498.0
5,0.0,0,0.0,70000.0,0.2075471698113207,10162243.0,7000798.0,13174741.0,3673942.0,2759604.0,4192580.0,4325599.0,0.0,0.0,0.0,3600000.0,False,False,0.0,2399558.0
30,0.0,0,0.0,40000.0,0.4150943396226415,1692746.0,908963.0,1997761.0,313202.0,261519.0,601187.0,1076792.0,7545846.0,5822104.0,1723742.0,100000.0,True,False,0.0,141843.0
4,0.0,0,0.0,20000.0,0.4528301886792452,6599282.0,6977339.0,8062821.0,245614.0,2433937.0,2117779.0,4035155.0,7234002.0,2633740.0,4600262.0,500000.0,False,True,0.0,5400.0
0,0.0,0,0.0,20000.0,0.1886792452830188,9859000.0,6806237.0,10719639.0,1844044.0,3274532.0,3767231.0,5663354.0,8077424.0,3370847.0,4706577.0,500000.0,True,False,0.0,600000.0
0,0.0,0,0.0,20000.0,0.2075471698113207,13034370.0,7082100.0,14478824.0,5006784.0,1035679.0,4856434.0,7694437.0,13302264.0,5538219.0,7764045.0,500000.0,True,False,0.0,0.0
0,0.0,0,0.0,20000.0,0.1886792452830188,4311445.0,3447726.0,4721894.0,-277951.0,788164.0,1574288.0,2613658.0,4261465.0,1768781.0,2492684.0,50000.0,False,False,0.0,105000.0
0,0.0,0,0.0,5000.0,0.3018867924528301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803930.0,0.0,0.0,80000.0,False,True,0.0,14720.0
0,0.398259293,0,0.0,45000.0,0.320754716981132,498602.0,130436.0,500484.0,192954.0,63868.0,0.0,303251.0,398430.0,0.0,0.0,21000.0,False,True,1.0,17760.0
30,0.0,0,0.0,100000.0,0.2075471698113207,7431234.0,2328559.0,7734412.0,559286.0,0.0,653854.0,6616105.0,4664367.0,0.0,0.0,200000.0,True,False,0.0,0.0
4,0.0,0,0.0,30000.0,0.150943396226415,2944729.0,419708.0,2950120.0,2530412.0,0.0,2260535.0,317840.0,7011386.0,2946639.0,4064747.0,100000.0,False,False,0.0,362682.0
3,0.4364427119,0,0.0,40000.0,0.320754716981132,1533528.0,269228.0,1631990.0,1362762.0,1013112.0,116391.0,78124.0,1108088.0,614951.0,493137.0,10000.0,False,True,1.0,12420.0
0,0.2860130174,0,0.0,20000.0,0.0377358490566037,1103900.0,1002415.0,1996654.0,663369.0,0.0,633581.0,379009.0,372817.0,260151.0,112666.0,45000.0,False,False,1.0,68000.0
4,0.536864413,0,0.0,20000.0,0.1886792452830188,150921134.0,121199817.0,196459199.0,75259383.0,98211.0,27224935.0,106905810.0,726763527.0,201609131.0,525154396.0,5000000.0,True,False,1.0,0.0
92,0.3372808614,0,0.0,40000.0,0.2075471698113207,1844770.0,291317.0,1974910.0,1683593.0,0.0,33756.0,1368561.0,3709789.0,1428712.0,2281077.0,250000.0,False,True,1.0,159100.0
7,0.3932631569,0,0.0,70000.0,0.150943396226415,2536269.0,444041.0,2536269.0,2340632.0,0.0,1504506.0,900156.0,2569044.0,1042743.0,1526301.0,200000.0,False,True,1.0,34400.0
16,0.3077777649,0,0.0,50000.0,0.320754716981132,2735209.0,849082.0,2854106.0,1996410.0,0.0,2642352.0,1873944.0,7204047.0,3701825.0,3502222.0,20000.0,False,True,0.8061777608,66000.0
128,0.3110758065,22,1920.0,15000.0,0.2641509433962264,8600738.0,5314303.0,10305898.0,860360.0,1541230.0,3882107.0,2498617.0,0.0,0.0,0.0,100000.0,False,False,0.1189599492,2214006.0
21,0.0,0,0.0,500000.0,0.2830188679245283,148940022.0,105742097.0,149016630.0,37219498.0,6055033.0,93415422.0,35583759.0,306698500.0,48489866.0,258208634.0,5000000.0,True,False,0.0,10174150.0
0,0.0,0,0.0,20000.0,0.1698113207547169,3482187.0,1177381.0,3589847.0,2412466.0,0.0,479445.0,673681.0,6936281.0,3251040.0,3685241.0,125000.0,False,True,0.0,45000.0
0,0.0,0,0.0,20000.0,0.0566037735849056,2071929.0,1311114.0,2130348.0,818335.0,0.0,362881.0,1077293.0,5110563.0,2428287.0,2682276.0,500000.0,False,False,0.0,205477.0
5,0.3385694321,0,0.0,80000.0,0.490566037735849,1642103.0,1708227.0,1642103.0,-66123.0,0.0,0.0,2173388.0,745259.0,0.0,0.0,30000.0,False,True,1.0,5400.0
21,0.3439589415,0,0.0,50000.0,0.1886792452830188,5856186.0,55517.0,6017870.0,5141608.0,211102.0,3742709.0,480032.0,3248256.0,1691576.0,1556680.0,40000.0,False,False,0.9243529258,720.0
4,0.272233658,0,0.0,30000.0,0.4528301886792452,818221.0,414432.0,83443.0,420010.0,85181.0,535003.0,258181.0,790284.0,257941.0,532343.0,200000.0,False,True,1.0,5400.0
14,0.2208051552,0,0.0,15000.0,0.2264150943396226,3053655.0,1451531.0,4503883.0,1652278.0,0.0,405244.0,1786454.0,5576077.0,1437736.0,4138341.0,66000.0,False,False,1.0,38000.0
2,0.4159864378,27,1315.0,6500.0,0.3773584905660377,151839.0,55259.0,151839.0,96580.0,0.0,0.0,127439.0,133594.0,0.0,0.0,100000.0,False,True,1.0,8000.0
