cnpjSemTraco,prazoMedioRecebimentoVendas,titulosEmAberto,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,custos,capitalSocial,restricoes,empresa_MeEppMei,limiteEmpresaAnaliseCredito,kmeans
IYZA05872767332466,0,0.0,437853.0,272388.0,450614.0,178225.0,0.0,0.0,201085.0,624350.0,-3319.0,-431401.0,40000.0,False,True,10800.0,0
MJEK50274612793018,63,10368.0,382348.0,890140.0,627034.0,460656.0,0.0,128803.0,212674.0,1177807.0,0.0,0.0,50000.0,False,True,44000.0,0
FECA48063802482890,0,0.0,714851.0,188269.0,728846.0,1402031.0,0.0,652153.0,0.0,1249651.0,302367.0,2183996.0,100000.0,False,True,165850.0,0
PMQC81082938911940,0,0.0,95762.0,293393.0,4786692.0,4493298.0,0.0,3212721.0,1195553.0,5368371.0,1346068.0,2072196.0,500000.0,False,True,194114.0,0
OGWM99265986867408,0,0.0,911113.0,509051.0,926368.0,451271.0,0.0,0.0,619908.0,572776.0,0.0,0.0,80000.0,False,True,63000.0,0
NGMR83637764779961,0,12825.0,188406780.0,23135956.0,23135956.0,18065030.0,0.0,8069962.0,4359398.0,0.0,0.0,0.0,5993340.0,False,False,2700000.0,1
LJAC91348349374248,0,0.0,2451304.0,1077694.0,2451304.0,4057991.0,0.0,0.0,96380.0,13144861.0,71893260.0,5955535.0,100000.0,False,True,111772.0,0
SNFU93394431510082,0,0.0,1039010.0,158609.0,1271122.0,1271122.0,0.0,218320.0,606940.0,3874929.0,1509631.0,2365298.0,93700.0,False,True,3520.0,0
BABY04647711649959,2,1111.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28007030.0,0.0,0.0,7500000.0,False,False,242500.0,1
HSRM88443367506915,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1184445.0,0.0,0.0,10000.0,False,False,66000.0,1
DXFT10434671387815,0,0.0,427357.0,334973.0,464583.0,129609.0,27955.0,183549.0,146651.0,1758366.0,539169.0,1219197.0,60000.0,False,True,11608.0,0
JTSM94251116413797,0,0.0,29384648.0,18810159.0,33247327.0,14341335.0,50000.0,12515839.0,13361956.0,75664716.0,12530408.0,63134308.0,11615000.0,False,False,3592231.0,1
HACJ40097641322816,0,0.0,191251.0,4306.0,191251.0,150000.0,0.0,0.0,9887.0,68529.0,43547.0,24983.0,150000.0,True,True,1720.0,3
DZZP77726440773562,0,0.0,2337149.0,2345646.0,2345646.0,1029696.0,113052.0,675431.0,36418.0,3160445.0,1402051.0,1758394.0,300000.0,False,True,26400.0,0
MXAA13401636387232,0,0.0,800360.0,92837.0,800360.0,893197.0,0.0,0.0,2218661.0,162322.0,0.0,0.0,60000.0,False,True,3520.0,0
MYUU82386146576827,0,0.0,8320950.0,4807039.0,11244780.0,6437741.0,0.0,7308360.0,846974.0,24039928.0,13670784.0,10369144.0,1000000.0,True,True,550763.0,3
FOQD35950552565600,0,0.0,423544.0,133500.0,423544.0,290043.0,0.0,39107.0,220837.0,300490.0,89373.0,211117.0,50000.0,False,True,33000.0,0
LMIS45136857687849,0,0.0,22439984.0,18426979.0,24595889.0,2904424.0,10636933.0,9741841.0,8716419.0,0.0,0.0,0.0,380000.0,False,False,3497472.0,1
ZOTK16751017765871,0,0.0,4788225.0,4783150.0,5195827.0,200519.0,212157.0,2971408.0,701409.0,7186820.0,3792667.0,3394153.0,500000.0,False,False,54400.0,1
YWQG81011103211076,0,0.0,1873096.0,560557.0,6970026.0,6170773.0,238695.0,544180.0,532287.0,4757529.0,1026916.0,3730613.0,200000.0,False,False,125000.0,1
